release,release_kind,release_date,other_share,other_weighted_churn_points,total_weighted_churn_points,top_paths
rust-v0.64.0-alpha.9,prerelease,2025-11-25T18:19:15Z,0.0781,537.0,6876.5,codex-rs/client.md (206); codex-rs/codex-client/src/transport.rs (107); codex-rs/codex-client/src/retry.rs (73); codex-rs/codex-client/src/sse.rs (48); codex-rs/codex-client/src/request.rs (39); codex-rs/codex-client/src/error.rs (29); codex-rs/codex-client/src/lib.rs (21); codex-rs/codex-client/src/telemetry.rs (14)
rust-v0.64.0-alpha.10,prerelease,2025-11-28T11:33:45Z,0.1645,206.0,1252.3,codex-rs/client.md (206)
rust-v0.65.0-alpha.1,prerelease,2025-12-02T16:11:38-08:00,0.0844,336.0,3982.5,codex-rs/utils/git/src/ghost_commits.rs (324); codex-rs/codex-client/src/transport.rs (12)
rust-v0.65.0-alpha.7,prerelease,2025-12-03T15:03:31-08:00,0.258,186.0,720.8,codex-rs/{common/src => core/src/openai_models}/model_presets.rs (184); codex-rs/common/src/lib.rs (2)
rust-v0.66.0-alpha.14,prerelease,2025-12-08T18:23:14-08:00,0.1184,98.0,827.8,codex-rs/process-hardening/src/lib.rs (98)
rust-v0.67.0-alpha.3,prerelease,2025-12-09T19:33:21-08:00,0.25,895.0,3580.3,codex-rs/utils/pty/src/win/psuedocon.rs (322); codex-rs/utils/pty/src/win/mod.rs (169); codex-rs/utils/absolute-path/src/lib.rs (152); codex-rs/utils/pty/src/win/conpty.rs (144); codex-rs/utils/pty/src/win/procthreadattr.rs (91); codex-rs/utils/pty/src/lib.rs (16); .codespellignore (1)
rust-v0.67.0-alpha.8,prerelease,2025-12-10T11:19:21-08:00,0.1097,302.0,2754.12,codex-rs/codex-client/src/default_client.rs (143); codex-rs/utils/git/src/branch.rs (132); codex-rs/codex-client/src/transport.rs (10); codex-rs/ollama/src/lib.rs (5); codex-rs/lmstudio/src/lib.rs (5); codex-rs/common/src/config_summary.rs (4); codex-rs/codex-client/src/lib.rs (3)
rust-v0.68.0,stable,2025-12-10T12:33:29-08:00,0.1882,32.0,170.0,codex-rs/scripts/create_github_release (32)
rust-v0.72.0-alpha.1,prerelease,2025-12-11T14:06:39-08:00,0.3259,412.0,1264.0,codex-rs/scripts/create_github_release (411); codex-rs/default.nix (1)
rust-v0.73.0-alpha.2,prerelease,2025-12-15T11:22:39+01:00,0.3789,703.0,1855.4,codex-rs/utils/git/src/ghost_commits.rs (697); codex-rs/utils/git/src/lib.rs (4); codex-rs/docs/protocol_v1.md (2)
rust-v0.78.0-alpha.9,prerelease,2025-12-27T18:18:38+01:00,0.1261,133.0,1055.1,codex-rs/utils/cargo-bin/src/lib.rs (127); AGENTS.md (6)
rust-v0.80.0-alpha.3,prerelease,2026-01-07T13:24:26-08:00,0.0574,97.0,1690.5,codex-rs/codex-client/src/transport.rs (73); codex-rs/codex-client/src/request.rs (14); codex-rs/codex-client/src/default_client.rs (7); codex-rs/utils/absolute-path/src/lib.rs (2); codex-rs/codex-client/src/lib.rs (1)
