release,previous_release,release_date,previous_release_date,release_kind,commit,previous_commit,commits,files_changed,raw_insertions,raw_deletions,raw_churn,weighted_churn_points,generated_raw_churn,generated_weighted_churn_points,dominant_change_type,top_paths
rust-v0.40.0,rust-v0.39.0,2025-09-23T09:15:34-07:00,2025-09-18T14:37:30-07:00,stable-rollup,aa822f518c6ff261371e9526c846a12ece44b567,8009a54757f9f4ff9160fe5b00c09e187f8a1fee,34,138,4693,1749,6442,5982.3,170,27.4,Feature,codex-rs/git-tooling/src/ghost_commits.rs (494); codex-rs/tui/src/chatwidget.rs (484); codex-rs/tui/src/bottom_pane/list_selection_view.rs (308); codex-rs/tui/src/chatwidget/tests.rs (276); codex-rs/core/src/codex.rs (253)
rust-v0.41.0,rust-v0.40.0,2025-09-24T09:56:32-07:00,2025-09-23T09:15:34-07:00,stable-rollup,2aaa89082340272363c233e2c44d4d0991999cf2,aa822f518c6ff261371e9526c846a12ece44b567,23,56,2107,879,2986,2763.8,94,18.8,Build / Release,codex-cli/scripts/install_native_deps.py (318); codex-cli/scripts/build_npm_package.py (269); codex-rs/utils/readiness/src/lib.rs (249); codex-rs/tui/src/history_cell.rs (242); codex-rs/core/tests/suite/client.rs (146)
rust-v0.42.0,rust-v0.41.0,2025-09-26T11:29:00-07:00,2025-09-24T09:56:32-07:00,stable-rollup,7d9d276fa9e6a9d44036e856269e0748af69f5ba,2aaa89082340272363c233e2c44d4d0991999cf2,35,142,9331,3086,12417,11393.44,680,118.24,Feature,codex-rs/tui/src/history_cell.rs (1303); codex-rs/core/src/codex.rs (1059); codex-rs/tui/src/resume_picker.rs (843); codex-rs/exec/tests/event_processor_with_json_output.rs (587); codex-rs/tui/src/bottom_pane/approval_overlay.rs (559)
rust-v0.43.0,rust-v0.42.0,2025-10-01T10:46:11-07:00,2025-09-26T11:29:00-07:00,stable-rollup,c30d5ea06d3f757e74df685016b337be642d7897,7d9d276fa9e6a9d44036e856269e0748af69f5ba,67,314,28014,4127,32141,24491.12,6120,525.92,Feature,pnpm-lock.yaml (4460); codex-rs/cloud-tasks/src/lib.rs (1631); codex-rs/Cargo.lock (1332); codex-rs/core/tests/suite/otel.rs (1196); codex-rs/cloud-tasks/src/ui.rs (1048)
rust-v0.44.0,rust-v0.43.0,2025-10-03T09:43:34-07:00,2025-10-01T10:46:11-07:00,stable-rollup,55ccfeada963f9dee94e328b3d0076e8e8e31737,c30d5ea06d3f757e74df685016b337be642d7897,43,149,4417,3499,7916,7382.88,412,59.18,Feature,codex-rs/tui/src/pager_overlay.rs (537); codex-rs/core/src/codex.rs (518); codex-rs/tui/src/diff_render.rs (476); codex-rs/core/src/executor/sandbox.rs (405); codex-rs/tui/src/chatwidget/tests.rs (396)
rust-v0.45.0,rust-v0.44.0,2025-10-06T12:03:34-07:00,2025-10-03T09:43:34-07:00,stable-rollup,47a5d53ad52de9e3fa3fd409b0fa0358aea2b82a,55ccfeada963f9dee94e328b3d0076e8e8e31737,55,177,13300,3731,17031,14163.6,1470,245.4,Feature,codex-rs/core/src/codex.rs (1489); codex-rs/Cargo.lock (1440); codex-rs/core/src/tools/spec.rs (1403); codex-rs/core/src/openai_tools.rs (1190); codex-rs/rmcp-client/src/oauth.rs (822)
rust-v0.46.0,rust-v0.45.0,2025-10-08T18:48:45-07:00,2025-10-06T12:03:34-07:00,stable-rollup,5c42685a1951b88ac8da67a8ca5c6dc5299ca2fc,47a5d53ad52de9e3fa3fd409b0fa0358aea2b82a,34,128,4508,1555,6063,5343.42,228,33.72,Feature,codex-rs/tui/src/terminal_palette.rs (527); codex-rs/core/src/tools/handlers/list_dir.rs (476); codex-rs/core/tests/suite/list_dir.rs (460); codex-rs/tui/src/render/highlight.rs (297); codex-rs/cli/src/mcp_cmd.rs (274)
rust-v0.47.0,rust-v0.46.0,2025-10-17T09:46:07-07:00,2025-10-08T18:48:45-07:00,stable-rollup,17e7933c19797c27565457095aa4758d5cf434c3,5c42685a1951b88ac8da67a8ca5c6dc5299ca2fc,52,136,9799,1332,11131,10240.34,394,71.24,Feature,codex-rs/core/src/tools/handlers/read_file.rs (928); codex-rs/core/src/config.rs (841); codex-rs/core/src/tools/handlers/mcp_resource.rs (773); codex-rs/core/tests/suite/shell_serialization.rs (537); codex-rs/core/src/tools/spec.rs (375)
rust-v0.48.0,rust-v0.47.0,2025-10-23T16:24:01-07:00,2025-10-17T09:46:07-07:00,stable-rollup,9f055f8a80ce231e5b10a45572a2301ec0846692,17e7933c19797c27565457095aa4758d5cf434c3,83,288,16510,8506,25016,22369.2,220,44.0,Feature,codex-rs/core/src/codex.rs (1809); codex-rs/core/tests/suite/approvals.rs (1175); codex-rs/core/tests/suite/apply_patch_cli.rs (1052); codex-rs/core/tests/suite/unified_exec.rs (865); codex-rs/core/src/unified_exec/mod.rs (837)
rust-v0.49.0,rust-v0.48.0,2025-10-24T11:36:20-07:00,2025-10-23T16:24:01-07:00,stable-rollup,6c37f9e24a56cfc2e22fe29a8802f78407331e79,9f055f8a80ce231e5b10a45572a2301ec0846692,1,1,1,1,2,2.0,0,0.0,Build / Release,codex-rs/Cargo.toml (2)
